property_type,society,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,price,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,experion the heartsong,sector 108,10177.0,2,3,3,4.0,Relatively New,0.98,978.23,1,0,0,0,0,0,135,"28.5134° N, 76.9830° E",28.5134,76.983
flat,afnhb jalvayu vihar,sector 30,8767.0,2,2,1,3.0,Old Property,0.69,896.0,0,0,0,0,0,0,65,"28.4604° N, 77.0579° E",28.4604,77.0579
flat,emaar mgf the palm drive,sector 66,8079.0,2,2,2,5.0,Relatively New,1.51,1188.0,0,0,0,1,0,1,82,"28.3925° N, 77.0541° E",28.3925,77.0541
house,international city by sobha phase 2,sector 109,12963.0,5,6,2,2.0,Relatively New,7.0,5400.0,0,1,0,0,0,0,154,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,indiabulls centrum park,sector 103,8868.0,3,3,3+,13.0,Relatively New,1.34,1560.0,1,0,0,0,0,0,93,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,tarc maceo,sector 91,10141.0,4,3,3+,0.0,Relatively New,1.8,2578.0,1,0,0,1,0,2,45,"28.4014° N, 76.9225° E",28.4014,76.9225
flat,microtek greenburg,sector 86,8498.0,3,4,3,12.0,Relatively New,1.93,2068.0,0,1,0,0,0,0,72,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,godrej icon,sector 88a,9016.0,3,3,3,12.0,New Property,1.65,1652.0,0,0,0,0,0,0,60,"28.4347° N, 76.9557° E",28.4347,76.9557
flat,cghs airport apartment,sector 47,9213.0,3,3,3,1.0,Old Property,1.65,1906.0,0,0,0,0,1,1,136,"28.4276° N, 77.0492° E",28.4276,77.0492
flat,assotech blith,sector 99,4106.0,3,4,0,15.0,New Property,1.6,2400.0,0,0,0,0,0,0,51,"28.4640° N, 76.9614° E",28.464,76.9614
flat,bptp terra,sector 37d,9588.0,4,3,3,15.0,Relatively New,1.79,1808.0,0,0,0,0,1,1,37,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,m3m woodshire,sector 107,2396.0,2,2,3+,6.0,Relatively New,0.8,1204.0,0,0,0,1,0,1,174,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,bestech park view residency,sector 2,9491.0,3,3,3+,5.0,Moderately Old,1.36,1611.0,0,0,0,0,0,0,84,"28.5095° N, 77.0320° E",28.5095,77.032
flat,sobha city,sector 108,13969.0,3,4,2,8.0,New Property,2.9,2076.0,0,0,0,0,0,0,109,"28.5134° N, 76.9830° E",28.5134,76.983
flat,central park flower valley aqua front towers,sector 33,13953.0,3,3,2,6.0,Under Construction,2.1,1619.0,0,0,0,0,0,0,24,"28.4420° N, 77.0207° E",28.442,77.0207
flat,belgravia resort residences,sector 48,4941.0,3,3,3,14.0,Moderately Old,3.45,6982.0,0,0,0,0,0,0,0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,emaar the palm drive,sector 66,18396.0,3,4,3,2.0,Relatively New,3.9,2200.0,0,0,0,0,0,0,0,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,dlf the ultima,sector 81,6655.0,3,4,3+,11.0,Relatively New,2.25,2090.0,0,1,0,0,0,2,174,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,zara aavaas,sector 104,11159.0,1,1,2,0.0,Relatively New,0.26,301.0,0,0,0,0,0,0,91,"28.4788° N, 76.9960° E",28.4788,76.996
flat,dlf the ultima,sector 81,8751.0,3,3,3+,6.0,New Property,2.25,1929.0,0,1,0,0,0,2,168,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,bestech altura,sector 79,13610.0,3,4,2,11.0,New Property,1.9,2389.0,0,1,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
